ori,des,path,len
324,208,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208,1249
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1516
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
324,240,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_70_56_9_11_421_240,1319
48,4,48_45_43_37_39_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,1719
47,306,47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,712
78,8,78_49_364_46_41_378_381_352_1_127_408_71_26_341_8,443
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
300,392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1135
132,185,132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185,1114
211,325,211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,1206
413,242,413_250_410_411_184_183_177_189_190_211_202_235_245_239_241_242,1396
345,88,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,2086
28,222,28_143_65_27_72_409_366_351_248_30_236_376_231_198_196_195_181_222,1213
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1057
326,194,326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_194,1209
324,145,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145,1350
219,392,219_288_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,1120
50,306,50_19_24_349_313_79_81_117_301_382_275_273_372_306,614
283,4,283_21_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,1881
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
345,187,345_169_369_168_374_155_163_258_162_415_413_250_410_412_187,1100
