u,v,,,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,ref,access
95663464,95663461,9566346495663461,9566346495663461,0,82682785,FALSE,4,Μάρνη,primary,TRUE,34.158,"LINESTRING (23.7279778 37.9878876, 23.7278468 37.9878195, 23.7276613 37.9877086)",,,,
95663464,962356674,95663464962356674,#N/A,0,384593010,TRUE,3,Μάρνη,primary,FALSE,27.951999999999998,"LINESTRING (23.7279778 37.9878876, 23.7281359 37.9879908, 23.7282268 37.9880446)",,,,
95663464,95663463,9566346495663463,#N/A,0,636791823,TRUE,2,Στουρνάρη,secondary,FALSE,23.439,"LINESTRING (23.7279778 37.9878876, 23.7277968 37.9879149, 23.7277151 37.9879272)",,,,
95663467,962356840,95663467962356840,#N/A,0,189099792,TRUE,2,Στουρνάρη,secondary,FALSE,59.655,"LINESTRING (23.7289132 37.9877467, 23.7288025 37.9877634, 23.7284723 37.9878131, 23.7282446 37.9878474)",,,,
95663467,95663392,9566346795663392,#N/A,0,189099793,TRUE,3,3ης Σεπτεμβρίου,primary,FALSE,93.795,"LINESTRING (23.7289132 37.9877467, 23.7290175 37.9881613, 23.7290282 37.9882036, 23.7290797 37.9884084, 23.7290932 37.9884621, 23.7291214 37.9885741)",,,,
95663472,635132981,95663472635132981,#N/A,0,189099791,TRUE,2,Αχαρνών,primary,FALSE,55.606,"LINESTRING (23.7266763 37.9880837, 23.7267009 37.9885834)",,,,
95663474,962356740,95663474962356740,#N/A,0,222899032,TRUE,2,Λιοσίων,primary,FALSE,82.191,"LINESTRING (23.7258952 37.9878886, 23.7265063 37.9873279)",,,,
95663474,95663499,9566347495663499,#N/A,0,222897512,TRUE,1,Μάγερ,tertiary,FALSE,34.235,"LINESTRING (23.7258952 37.9878886, 23.7258561 37.987822, 23.7258361 37.9877852, 23.7257222 37.9876127)",,,,
95663490,8212395769,956634908212395769,956634908212395769,0,1279450436,FALSE,2,Λιοσίων,secondary,FALSE,6.932,"LINESTRING (23.7250694 37.9888208, 23.7250288 37.9888743)",30,,,
95663490,97834829,9566349097834829,#N/A,0,10741754,TRUE,2,Λιοσίων,secondary,FALSE,10.91,"LINESTRING (23.7250694 37.9888208, 23.7250774 37.9888106, 23.7251117 37.9887719, 23.72514 37.98874)",30,,,
95663492,95663376,9566349295663376,#N/A,0,10741758,TRUE,1,Μενάνδρου,tertiary,FALSE,63,"LINESTRING (23.7260626 37.9865152, 23.7259374 37.9859959, 23.725926 37.985959)",,,,
95663492,95663418,9566349295663418,#N/A,0,85392263,TRUE,1,Χαλκοκονδύλη,secondary,FALSE,32.065,"LINESTRING (23.7260626 37.9865152, 23.7258482 37.9865447, 23.7257031 37.9865686)",,,,
95663493,844627879,95663493844627879,#N/A,0,24259066,TRUE,1,Κουμουνδούρου,residential,FALSE,25.07,"LINESTRING (23.7251889 37.9860722, 23.7252077 37.9861485, 23.7252346 37.9862947)",,3,,
95663493,95663375,9566349395663375,#N/A,0,32357772,TRUE,,Βερανζέρου,residential,FALSE,23.688,"LINESTRING (23.7251889 37.9860722, 23.7251153 37.9860835, 23.7249236 37.9861129)",,6,,
95663499,97834765,9566349997834765,9566349997834765,0,10976012,FALSE,,Βατσαξή,residential,TRUE,75.731,"LINESTRING (23.7257222 37.9876127, 23.7248767 37.9877534)",,,,
95663499,95663501,9566349995663501,#N/A,0,222897512,TRUE,1,Μάγερ,tertiary,FALSE,50.631,"LINESTRING (23.7257222 37.9876127, 23.7254411 37.9872149)",,,,
95663501,95663524,9566350195663524,#N/A,0,204621371,TRUE,,Μαιζώνος,residential,FALSE,60.907,"LINESTRING (23.7254411 37.9872149, 23.7247626 37.9873335)",,,,
95663501,95663502,9566350195663502,#N/A,0,222897512,TRUE,1,Μάγερ,tertiary,FALSE,70.588,"LINESTRING (23.7254411 37.9872149, 23.7250632 37.9866543)",,,,
95663502,95663504,9566350295663504,#N/A,0,261671452,TRUE,1,Μάγερ,tertiary,FALSE,63.257,"LINESTRING (23.7250632 37.9866543, 23.724801 37.9861819, 23.7247728 37.9861335)",,,,
95663502,95663418,9566350295663418,#N/A,0,"[741033482, 741033483]",TRUE,1,Φαβιέρου,residential,FALSE,56.915,"LINESTRING (23.7250632 37.9866543, 23.7253722 37.9866096, 23.7256132 37.9865748, 23.7257031 37.9865686)",,,,
