(336.0, 408.0)
(337.0, 335.0)
(338.0, 341.0)
(339.0, 28.0)
(340.0, 353.0)
(341.0, 338.0)
(342.0, 343.0)
(343.0, 342.0)
(344.0, 355.0)
(345.0, 241.0)
(346.0, 349.0)
(347.0, 245.0)
(348.0, 234.0)
(349.0, 346.0)
(350.0, 239.0)
(351.0, 71.0)
(353.0, 340.0)
(354.0, 23.0)
(355.0, 344.0)
(356.0, 390.0)
(357.0, 132.0)
(358.0, 363.0)
(359.0, 362.0)
(360.0, 389.0)
(361.0, 394.0)
(362.0, 359.0)
(363.0, 358.0)
(364.0, 392.0)
(365.0, 282.0)
(368.0, 278.0)
(371.0, 382.0)
(374.0, 202.0)
(375.0, 255.0)
(378.0, 197.0)
(379.0, 7.0)
(382.0, 371.0)
(383.0, 26.0)
(385.0, 16.0)
(387.0, 119.0)
(388.0, 422.0)
(389.0, 360.0)
(390.0, 356.0)
(391.0, 125.0)
(392.0, 364.0)
(393.0, 122.0)
(394.0, 361.0)
(395.0, 120.0)
(396.0, 59.0)
(397.0, 25.0)
(398.0, 399.0)
(399.0, 398.0)
(400.0, 270.0)
(401.0, 404.0)
(402.0, 46.0)
(403.0, 41.0)
(404.0, 401.0)
(405.0, 407.0)
(406.0, 333.0)
(407.0, 405.0)
(408.0, 336.0)
(409.0, 94.0)
(411.0, 416.0)
(414.0, 20.0)
(415.0, 308.0)
(416.0, 411.0)
(418.0, 17.0)
(420.0, 134.0)
(421.0, 86.0)
(422.0, 388.0)
(423.0, 91.0)
