u,v,key,osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,lanes,width
26336386,100928045,0,11346443,residential,,False,False,343.435,"LINESTRING (153.0397365 -27.463747, 153.0397169 -27.4637671, 153.0396934 -27.4637927, 153.0396631 -27.4638257, 153.0395858 -27.4639133, 153.0394559 -27.4640485, 153.0394195 -27.4640851, 153.0393913 -27.4641193, 153.0393805 -27.4641385, 153.0393746 -27.464157, 153.0393738 -27.4641694, 153.0393761 -27.4641804, 153.0393817 -27.4641938, 153.0393982 -27.464219, 153.039611 -27.4645182, 153.0398917 -27.4648862, 153.0401865 -27.4652386, 153.0404616 -27.4655427, 153.0404874 -27.4655732, 153.040507 -27.4656179, 153.0406072 -27.4659485, 153.0406274 -27.4660023, 153.0406812 -27.4660584, 153.0408678 -27.4662038, 153.0408889 -27.4662202, 153.0409517 -27.4662584)",Moray Street,50,,
26336386,26336387,0,543620975,residential,,False,False,87.26600000000002,"LINESTRING (153.0397365 -27.463747, 153.0402733 -27.4641697, 153.0402851 -27.464178, 153.0402974 -27.4641845, 153.0403143 -27.4641914, 153.040332 -27.4641953, 153.0403479 -27.4641983, 153.0403746 -27.4642009, 153.0404316 -27.4642073)",Bowen Terrace,50,,
26336386,26336346,0,543620975,residential,,False,True,17.398,"LINESTRING (153.0397365 -27.463747, 153.0396338 -27.4636668, 153.0396229 -27.4636564, 153.0396085 -27.4636399)",Bowen Terrace,50,,
26336387,26336368,0,8028133,residential,,False,False,125.165,"LINESTRING (153.0404316 -27.4642073, 153.0404303 -27.4641912, 153.0404314 -27.4641712, 153.0404363 -27.464152, 153.0404447 -27.4641359, 153.040457 -27.4641196, 153.0404797 -27.4640958, 153.0406469 -27.4639276, 153.0409681 -27.4636086, 153.0410475 -27.4635315, 153.0411728 -27.4634059, 153.041187 -27.4633917, 153.0412304 -27.4633483)",Balfour Street,50,,
26336387,11640495688,0,15381720,residential,,False,False,188.61300000000003,"LINESTRING (153.0404316 -27.4642073, 153.0404344 -27.4642199, 153.0404404 -27.4642363, 153.0404485 -27.4642514, 153.0404575 -27.4642642, 153.0404758 -27.4642826, 153.0406198 -27.4643902, 153.0407254 -27.4644671, 153.0408022 -27.46453, 153.0409155 -27.4646402, 153.0413438 -27.4650549, 153.0414616 -27.4651604, 153.0417037 -27.4653487, 153.0417275 -27.4653672, 153.0417744 -27.465403)",Bowen Terrace,50,,
26336387,26336386,0,543620975,residential,,False,True,87.266,"LINESTRING (153.0404316 -27.4642073, 153.0403746 -27.4642009, 153.0403479 -27.4641983, 153.040332 -27.4641953, 153.0403143 -27.4641914, 153.0402974 -27.4641845, 153.0402851 -27.464178, 153.0402733 -27.4641697, 153.0397365 -27.463747)",Bowen Terrace,50,,
100927821,100927842,0,9559269,secondary,,False,False,125.029,"LINESTRING (153.0426759 -27.4644722, 153.0427475 -27.4645289, 153.0427697 -27.4645465, 153.04363 -27.4652122)",Brunswick Street,50,4,
100927821,26336318,0,9559269,secondary,,False,True,133.88400000000001,"LINESTRING (153.0426759 -27.4644722, 153.0425948 -27.464409, 153.0425742 -27.464393, 153.0423532 -27.4642211, 153.0420992 -27.4640237, 153.0418894 -27.4638606, 153.0416548 -27.4636792)",Brunswick Street,50,4,
100927821,26336317,0,11346449,tertiary,,False,True,232.608,"LINESTRING (153.0426759 -27.4644722, 153.0427273 -27.464413, 153.0427457 -27.4643918, 153.0428614 -27.4642626, 153.04422 -27.4628919)",Annie Street,,,
100927821,11640495688,0,19569428,residential,,False,False,136.49599999999998,"LINESTRING (153.0426759 -27.4644722, 153.0426147 -27.4645432, 153.042579 -27.4645846, 153.0424887 -27.4646773, 153.0422291 -27.4649414, 153.041896 -27.4652796, 153.0418328 -27.4653438, 153.0417744 -27.465403)",Barker Street,,,
100927842,100927858,0,9559269,secondary,,False,False,66.369,"LINESTRING (153.04363 -27.4652122, 153.0441355 -27.465606)",Brunswick Street,50,4,
100927842,100927821,0,9559269,secondary,,False,True,125.029,"LINESTRING (153.04363 -27.4652122, 153.0427697 -27.4645465, 153.0427475 -27.4645289, 153.0426759 -27.4644722)",Brunswick Street,50,4,
100927842,2358200533,0,27600523,residential,,False,True,52.31999999999999,"LINESTRING (153.04363 -27.4652122, 153.0436689 -27.4651727, 153.0436913 -27.4651492, 153.0437275 -27.4651113, 153.0438169 -27.4650103, 153.0439043 -27.4649262, 153.0439734 -27.4648539)",Browne Street,,,
100927858,100927842,0,9559269,secondary,,False,True,66.369,"LINESTRING (153.0441355 -27.465606, 153.04363 -27.4652122)",Brunswick Street,50,4,
100927858,100927875,0,9559269,secondary,,False,False,102.961,"LINESTRING (153.0441355 -27.465606, 153.0443245 -27.4657518, 153.0449218 -27.4662148)",Brunswick Street,50,4,
100927858,100928202,0,11346450,residential,,False,False,136.14700000000002,"LINESTRING (153.0441355 -27.465606, 153.0440952 -27.4656493, 153.0440675 -27.4656784, 153.0440351 -27.4657125, 153.0439545 -27.4658072, 153.0436963 -27.4660805, 153.0433988 -27.4663786, 153.0433024 -27.4664787, 153.0432835 -27.4664982, 153.0432444 -27.4665405)",Langshaw Street,50,,
100927875,100927887,0,633545276,secondary,,False,False,23.011,"LINESTRING (153.0449218 -27.4662148, 153.0450968 -27.4663516)",Brunswick Street,40,,
100927875,100927858,0,9559269,secondary,,False,True,102.961,"LINESTRING (153.0449218 -27.4662148, 153.0443245 -27.4657518, 153.0441355 -27.465606)",Brunswick Street,50,4,
100927875,100950181,0,11348309,residential,,False,True,95.324,"LINESTRING (153.0449218 -27.4662148, 153.0449599 -27.466172, 153.0449822 -27.4661474, 153.045106 -27.4660107, 153.0453057 -27.4657993, 153.0454233 -27.4656747, 153.0455401 -27.4655562)",Villiers Street,,,
100927887,100927875,0,633545276,secondary,,False,True,23.011,"LINESTRING (153.0450968 -27.4663516, 153.0449218 -27.4662148)",Brunswick Street,40,,
100927887,100929041,0,11346453,residential,,False,True,67.892,"LINESTRING (153.0450968 -27.4663516, 153.0450576 -27.4663947, 153.0450362 -27.4664187, 153.0449119 -27.4665582, 153.0446584 -27.4668221)",Moreton Street,50,,
100927887,100927898,0,633545276,secondary,,False,False,137.322,"LINESTRING (153.0450968 -27.4663516, 153.0460344 -27.4670743, 153.0460539 -27.4670888, 153.0461492 -27.4671598)",Brunswick Street,40,,
100927898,100929065,0,11346464,tertiary,,False,False,68.472,"LINESTRING (153.0461492 -27.4671598, 153.0460787 -27.4672312, 153.0460608 -27.4672492, 153.045695 -27.4676254)",Merthyr Road,50,,
100927898,100950209,0,11348318,tertiary,,False,True,94.634,"LINESTRING (153.0461492 -27.4671598, 153.0462188 -27.4670872, 153.0462373 -27.4670678, 153.0465316 -27.4667689, 153.0467786 -27.4665176)",Merthyr Road,50,,
100927898,100927910,0,73532287,secondary,,False,False,121.232,"LINESTRING (153.0461492 -27.4671598, 153.0462329 -27.4672263, 153.0462546 -27.4672435, 153.0465479 -27.4674713, 153.0468048 -27.4676711, 153.0470724 -27.4678793)",Brunswick Street,40,,
100927898,100927887,0,633545276,secondary,,False,True,137.322,"LINESTRING (153.0461492 -27.4671598, 153.0460539 -27.4670888, 153.0460344 -27.4670743, 153.0450968 -27.4663516)",Brunswick Street,40,,
100927910,100950222,0,11348319,residential,,False,False,256.78299999999996,"LINESTRING (153.0470724 -27.4678793, 153.0471107 -27.4678402, 153.0471294 -27.4678213, 153.0475084 -27.4674385, 153.0480375 -27.4668969, 153.048781 -27.4661373)",Welsby Street,50,,
