u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
100928077,499943083,Langshaw Street,residential,False,87.87899999999999,,,,,50.0,,,,,125
100928077,100928095,Moray Street,residential,False,133.03,,,,,50.0,,,,,126
100928095,100928394,Moreton Street,residential,False,51.083,,,,,50.0,,,,,127
100928095,21592072,Moray Street,residential,False,129.974,,,,,50.0,,,,,128
100928095,100928077,Moray Street,residential,False,133.03,,,,,50.0,,,,,129
100928118,100928410,Merthyr Road,tertiary,False,51.515,,,,,50.0,,,,,130
100928202,100928218,Bowen Terrace,residential,False,125.91,,,,,50.0,,,,,131
100928202,303299369,Langshaw Street,residential,False,73.646,,,,,50.0,,,,,132
100928202,100927858,Langshaw Street,residential,False,136.14700000000002,,,,,50.0,,,,,133
100928202,11640495688,Bowen Terrace,residential,False,192.44,,,,,50.0,,,,,134
100928218,100928237,Bowen Terrace,residential,False,49.907,,,,,50.0,,,,,135
100928218,100928202,Bowen Terrace,residential,False,125.91,,,,,50.0,,,,,136
100928218,100929041,Moreton Street,residential,False,68.502,,,,,50.0,,,,,137
100928218,100928369,Moreton Street,residential,False,136.206,,,,,50.0,,,,,138
100928237,100928218,Bowen Terrace,residential,False,49.907,,,,,50.0,,,,,139
100928237,100928451,Amity Street,residential,False,136.582,,,,,50.0,,,,,140
100928237,100928269,Bowen Terrace,residential,False,86.075,,,,,50.0,,,,,141
100928269,100929089,Merthyr Road,tertiary,False,98.399,,,,,50.0,,,,,142
100928269,100929065,Merthyr Road,tertiary,False,68.07,,,,,50.0,,,,,143
100928269,100928288,Lower Bowen Terrace,residential,False,243.095,,,,,50.0,,,,,144
100928269,100928237,Bowen Terrace,residential,False,86.075,,,,,50.0,,,,,145
100928288,100928997,Sydney Street,tertiary,False,99.658,,,,,50.0,,,,,146
100928288,100929015,Sydney Street,tertiary,False,127.71,,,,,50.0,,,,,147
100928288,100928269,Lower Bowen Terrace,residential,False,243.095,,,,,50.0,,,,,148
100928335,100928063,Julius Street,residential,False,60.734,,,,,,,,,,149
100928352,100928369,Moreton Street,residential,False,60.532,,,,,50.0,,,,,150
100928352,100928394,Moreton Street,residential,False,54.431,,,,,50.0,,,,,151
100928352,100928385,Abbott Street,residential,False,135.639,,,,,50.0,,,,,152
100928369,100928352,Moreton Street,residential,False,60.532,,,,,50.0,,,,,153
100928369,100928451,Watson Street,residential,False,50.509,,,,,50.0,,,,,154
100928369,100928218,Moreton Street,residential,False,136.206,,,,,50.0,,,,,155
100928385,130087805,Merthyr Road,tertiary,False,53.019,,,,,50.0,,,,,156
100928385,100928470,Merthyr Road,tertiary,False,60.921,,,,,50.0,,,,,157
100928385,100928352,Abbott Street,residential,False,135.639,,,,,50.0,,,,,158
100928394,100928352,Moreton Street,residential,False,54.431,,,,,50.0,,,,,159
